strong,12000,1,10,
strong,12000,2,10,
strong,12000,3,10,
strong,12000,4,10,
strong,12000,5,10,
strong,12000,6,10,
strong,12000,7,10,
strong,12000,8,10,
strong,12000,9,10,
strong,12000,10,10,
strong,12000,11,10,
strong,12000,12,10,
weak,1200,1,10,
weak,2400,2,10,
weak,3600,3,10,
weak,4800,4,10,
weak,6000,5,10,
weak,7200,6,10,
weak,8400,7,10,
weak,9600,8,10,
weak,10800,9,10,
weak,12000,10,10,
weak,13200,11,10,
weak,14400,12,10,
strong,18238420,1,10,
strong,18238420,2,10,
strong,18238420,3,10,
strong,18238420,4,10,
strong,18238420,5,10,
strong,18238420,6,10,
strong,18238420,7,10,
strong,18238420,8,10,
strong,18238420,9,10,
strong,18238420,10,10,
strong,18238420,11,10,
strong,18238420,12,10,
weak,1823842,1,10,
weak,3647684,2,10,
weak,5471526,3,10,
weak,7295368,4,10,
weak,9119210,5,10,
weak,10943052,6,10,
weak,12766894,7,10,
weak,14590736,8,10,
weak,16414578,9,10,
weak,18238420,10,10,
weak,20062262,11,10,
weak,21886104,12,10,
strong,27720000000,1,10,
strong,27720000000,2,10,
strong,27720000000,3,10,
strong,27720000000,4,10,
strong,27720000000,5,10,
strong,27720000000,6,10,
strong,27720000000,7,10,
strong,27720000000,8,10,
strong,27720000000,9,10,
strong,27720000000,10,10,
strong,27720000000,11,10,
strong,27720000000,12,10,
weak,2772000000,1,10,
weak,5544000000,2,10,
weak,8316000000,3,10,
weak,11088000000,4,10,
weak,13860000000,5,10,
weak,16632000000,6,10,
weak,19404000000,7,10,
weak,22176000000,8,10,
weak,24948000000,9,10,
weak,27720000000,10,10,
weak,30492000000,11,10,
weak,33264000000,12,10,
