scaling,n_points,procs,rep,time
strong,27720000,1,5,0.627934
strong,27720000,2,5,0.367264
strong,27720000,3,5,0.240063
strong,27720000,4,5,0.288115
strong,27720000,5,5,0.218201
strong,27720000,6,5,0.180799
strong,27720000,7,5,0.177837
strong,27720000,8,5,0.158859
strong,27720000,9,5,0.124665
strong,27720000,10,5,0.115676
strong,27720000,11,5,0.160526
strong,27720000,12,5,0.230155
weak,2310000,1,5,0.050922
weak,4620000,2,5,0.059405
weak,6930000,3,5,0.061678
weak,9240000,4,5,0.088687
weak,11550000,5,5,0.089088
weak,13860000,6,5,0.092546
weak,16170000,7,5,0.091613
weak,18480000,8,5,0.094910
weak,20790000,9,5,0.096933
weak,23100000,10,5,0.099907
weak,25410000,11,5,0.165898
weak,27720000,12,5,0.290171
